,concentracion_URM,concentracion_Nitrogen,Valor mg NO3/L
3,3996.9,177362.5,154.66
4,2807.6,101122.1,126.57
5,605.8,50741.7,110.21
6,2462.4,138963.4,108.74
7,1066.6,62891.5,103.39
8,2247.6,103615.2,100.04
9,392.1,15856.7,88.33
10,1586.1,51163.2,80.28
11,4001.8,149387.2,78.24
12,64.7,2776.3,77.67
13,23.8,4826.3,76.76
14,1640.7,68273.5,72.55
15,639.7,17466.4,70.4
16,599.1,14364.7,65.57
17,1262.1,61056.4,63.03
18,200.8,15931.6,61.28
19,763.5,68092.9,60.12
20,1570.0,52831.3,58.3
21,332.1,44872.0,57.1
