Comarca,Superficie unidades km2
Alt Camp,538
Alt Empordà,1357.5
Alt Penedès,592.7
Alt Urgell,1447.5
Alta Ribagorça,426.9
Anoia,866.3
Aran,633.6
Bages,1204.93
Baix Camp,697.1
Baix Ebre,1002.7
Baix Empordà,701.7
Baix Llobregat,486
Baix Penedès,296.4
Barcelonès,145.8
Berguedà,1185.2
Cerdanya,546.7
Conca de Barberà,650.2
Garraf,185.1
Garrigues,797.7
Garrotxa,734.6
Gironès,575.6
Maresme,398.5
Montsià,735.4
Noguera,1784.1
Osona,1357.83
Pallars Jussà,1343.1
Pallars Sobirà,1377.9
Pla d'Urgell,305.1
Pla de l'Estany,262.8
Priorat,498.6
Ribera d'Ebre,827.3
Ripollès,956.6
Segarra,722.7
Segrià,1396.7
La Selva,995
Solsonès,1001.2
Tarragonès,319.4
Terra Alta,743
Urgell,579.7
Vallès Occidental,583.1
Vallès Oriental,847.63
